name,number,dob,age,country,height,foot,contract,signed_from,signing_fee,position,market_value,season,team
Deniz Undav,26,1996-07-19,30,Deutschland,179.0,beidfüßig,30.06.2029,Brighton & Hove Albion,26700000.0,Mittelstürmer,22000000.0,2026,vfb-stuttgart
Jovan Milosevic,19,2005-07-31,21,Serbien,190.0,rechts,30.06.2029,FK Vojvodina Novi Sad,1200000.0,Mittelstürmer,7000000.0,2026,vfb-stuttgart
Jeremy Arévalo,25,2005-03-19,21,Ecuador,182.0,links,30.06.2031,Racing Santander,7500000.0,Mittelstürmer,7000000.0,2026,vfb-stuttgart
Kauã Santos,40,2003-04-11,23,Brasilien,196.0,rechts,30.06.2030,CR Flamengo U20,1600000.0,Torwart,7000000.0,2026,eintracht-frankfurt
Michael Zetterer,23,1995-07-12,31,Deutschland,187.0,beidfüßig,30.06.2029,SV Werder Bremen,6000000.0,Torwart,4000000.0,2026,eintracht-frankfurt
Jens Grahl,33,1988-09-22,37,Deutschland,192.0,rechts,30.06.2027,VfB Stuttgart,250000.0,Torwart,200000.0,2026,eintracht-frankfurt
Amil Siljevic,39,2007-01-19,19,Bosnien-Herzegowina,192.0,rechts,30.06.2029,Eintracht Frankfurt U19,,Torwart,,2026,eintracht-frankfurt
Nnamdi Collins,34,2004-01-10,22,Deutschland,188.0,rechts,30.06.2030,Borussia Dortmund II,1000000.0,Innenverteidiger,20000000.0,2026,eintracht-frankfurt
Arthur Theate,3,2000-05-25,26,Belgien,185.0,links,30.06.2029,FC Stade Rennes,13000000.0,Innenverteidiger,17000000.0,2026,eintracht-frankfurt
Robin Koch,4,1996-07-17,30,Deutschland,192.0,rechts,30.06.2030,Leeds United,,Innenverteidiger,10000000.0,2026,eintracht-frankfurt
Otávio,5,2005-11-25,20,Brasilien,193.0,links,30.06.2031,CF Estrela Amadora,4500000.0,Innenverteidiger,1500000.0,2026,eintracht-frankfurt
Keita Kosugi,26,2006-03-18,20,Japan,172.0,links,30.06.2031,Djurgårdens IF,6500000.0,Linker Verteidiger,5000000.0,2026,eintracht-frankfurt
Niels Nkounkou,48,2000-11-01,25,Frankreich,180.0,links,30.06.2028,AS Saint-Étienne,7500000.0,Linker Verteidiger,2600000.0,2026,eintracht-frankfurt
Elias Baum,2,2005-10-26,20,Deutschland,180.0,rechts,30.06.2028,Eintracht Frankfurt II,,Rechter Verteidiger,4000000.0,2026,eintracht-frankfurt
Timothy Chandler,22,1990-03-29,36,Vereinigte Staaten,187.0,rechts,30.06.2027,1.FC Nürnberg,1000000.0,Rechter Verteidiger,350000.0,2026,eintracht-frankfurt
Raphael Onyedika,25,2001-04-19,25,Nigeria,184.0,rechts,30.06.2031,Club Brügge,9000000.0,Defensives Mittelfeld,23000000.0,2026,eintracht-frankfurt
Noël Aséko,,2005-11-22,20,Deutschland,178.0,rechts,30.06.2031,FC Bayern München,12000000.0,Defensives Mittelfeld,12000000.0,2026,eintracht-frankfurt
Ellyes Skhiri,15,1995-05-10,31,Tunesien,185.0,rechts,30.06.2027,1.FC Köln,,Defensives Mittelfeld,5000000.0,2026,eintracht-frankfurt
Hugo Larsson,16,2004-06-27,22,Schweden,187.0,rechts,30.06.2029,Malmö FF,9000000.0,Zentrales Mittelfeld,28000000.0,2026,eintracht-frankfurt
Oscar Højlund,6,2005-01-04,21,Dänemark,184.0,rechts,30.06.2029,FC Kopenhagen,1350000.0,Zentrales Mittelfeld,15000000.0,2026,eintracht-frankfurt
Junior Dina Ebimbe,43,2000-11-21,25,Kamerun,184.0,rechts,30.06.2027,Paris Saint-Germain,6500000.0,Rechtes Mittelfeld,6000000.0,2026,eintracht-frankfurt
Can Uzun,42,2005-11-11,20,Türkei,186.0,rechts,30.06.2029,1.FC Nürnberg,13000000.0,Offensives Mittelfeld,45000000.0,2026,eintracht-frankfurt
Farès Chaïbi,8,2002-11-28,23,Algerien,183.0,rechts,30.06.2028,FC Toulouse,10000000.0,Offensives Mittelfeld,15000000.0,2026,eintracht-frankfurt
Love Arrhov,31,2008-05-17,18,Schweden,178.0,rechts,30.06.2028,IF Brommapojkarna,4600000.0,Offensives Mittelfeld,5000000.0,2026,eintracht-frankfurt
Mario Götze,27,1992-06-03,34,Deutschland,176.0,rechts,30.06.2028,PSV Eindhoven,3000000.0,Offensives Mittelfeld,3000000.0,2026,eintracht-frankfurt
Jean-Mattéo Bahoya,19,2005-05-07,21,Frankreich,180.0,rechts,30.06.2029,Angers SCO,8000000.0,Linksaußen,25000000.0,2026,eintracht-frankfurt
Malik Pimpong,35,2008-01-01,18,Dänemark,190.0,rechts,30.06.2031,FC Midtjylland U19,3500000.0,Linksaußen,,2026,eintracht-frankfurt
Ritsu Doan,20,1998-06-16,28,Japan,172.0,links,30.06.2030,SC Freiburg,21000000.0,Rechtsaußen,17000000.0,2026,eintracht-frankfurt
Ansgar Knauff,7,2002-01-10,24,Deutschland,180.0,rechts,30.06.2028,Borussia Dortmund,5000000.0,Rechtsaußen,15000000.0,2026,eintracht-frankfurt
Ayoube Amaimouni-Echghouyab,29,2004-11-30,21,Marokko,179.0,links,30.06.2031,TSG 1899 Hoffenheim II,200000.0,Rechtsaußen,10000000.0,2026,eintracht-frankfurt
Jonathan Burkardt,9,2000-07-11,26,Deutschland,181.0,rechts,30.06.2030,1.FSV Mainz 05,21000000.0,Mittelstürmer,30000000.0,2026,eintracht-frankfurt
Elye Wahi,,2003-01-02,23,Elfenbeinküste,181.0,rechts,30.06.2030,Olympique Marseille,26000000.0,Mittelstürmer,18000000.0,2026,eintracht-frankfurt
Younes Ebnoutalib,11,2003-09-13,22,Deutschland,191.0,rechts,30.06.2031,SV 07 Elversberg,8000000.0,Mittelstürmer,8000000.0,2026,eintracht-frankfurt
Noel Futkeu,,2002-12-06,23,Deutschland,183.0,rechts,,SpVgg Greuther Fürth,1300000.0,Mittelstürmer,7500000.0,2026,eintracht-frankfurt
Michy Batshuayi,30,1993-10-02,32,Belgien,185.0,rechts,30.06.2027,Galatasaray,3000000.0,Mittelstürmer,2000000.0,2026,eintracht-frankfurt
Jessic Ngankam,,2000-07-20,26,Deutschland,184.0,rechts,30.06.2028,Hertha BSC,4000000.0,Mittelstürmer,700000.0,2026,eintracht-frankfurt
Oliver Baumann,1,1990-06-02,36,Deutschland,187.0,rechts,30.06.2028,SC Freiburg,5500000.0,Torwart,2500000.0,2026,tsg-1899-hoffenheim
Luca Philipp,37,2000-11-28,25,Deutschland,192.0,rechts,,TSG 1899 Hoffenheim II,,Torwart,750000.0,2026,tsg-1899-hoffenheim
Lúkas Petersson,36,2004-02-09,22,Island,195.0,rechts,,TSG 1899 Hoffenheim II,,Torwart,600000.0,2026,tsg-1899-hoffenheim
Albian Hajdari,21,2003-05-18,23,Kosovo,189.0,links,30.06.2031,FC Lugano,5000000.0,Innenverteidiger,25000000.0,2026,tsg-1899-hoffenheim
Ozan Kabak,5,2000-03-25,26,Türkei,187.0,rechts,30.06.2030,FC Schalke 04,7000000.0,Innenverteidiger,15000000.0,2026,tsg-1899-hoffenheim
Robin Hranac,2,2000-01-29,26,Tschechien,189.0,rechts,30.06.2028,FC Viktoria Pilsen,8000000.0,Innenverteidiger,10000000.0,2026,tsg-1899-hoffenheim
Koki Machida,28,1997-08-25,28,Japan,190.0,links,30.06.2029,Union Saint-Gilloise,4750000.0,Innenverteidiger,6000000.0,2026,tsg-1899-hoffenheim
Arthur Chaves,35,2001-01-29,25,Brasilien,188.0,rechts,30.06.2029,Académico Viseu FC,6000000.0,Innenverteidiger,5000000.0,2026,tsg-1899-hoffenheim
Sean Dulic,4,2005-06-05,21,Deutschland,187.0,beidfüßig,30.06.2030,TSV 1860 München,,Innenverteidiger,1200000.0,2026,tsg-1899-hoffenheim
Mats Rots,39,2006-03-11,20,Niederlande,190.0,links,30.06.2031,FC Twente Enschede,12000000.0,Linker Verteidiger,12000000.0,2026,tsg-1899-hoffenheim
Bernardo,13,1995-05-14,31,Brasilien,186.0,links,30.06.2027,VfL Bochum,,Linker Verteidiger,4000000.0,2026,tsg-1899-hoffenheim
Valentin Gendrey,15,2000-06-21,26,Frankreich,179.0,rechts,30.06.2028,US Lecce,9500000.0,Rechter Verteidiger,6000000.0,2026,tsg-1899-hoffenheim
Vladimír Coufal,34,1992-08-22,33,Tschechien,175.0,rechts,30.06.2028,West Ham United,,Rechter Verteidiger,2500000.0,2026,tsg-1899-hoffenheim
Natnael Abraha,29,2008-03-14,18,Deutschland,183.0,rechts,,TSG 1899 Hoffenheim II,,Rechter Verteidiger,400000.0,2026,tsg-1899-hoffenheim
Leon Avdullahu,7,2004-02-23,22,Kosovo,185.0,rechts,30.06.2031,FC Basel 1893,8000000.0,Defensives Mittelfeld,30000000.0,2026,tsg-1899-hoffenheim
Wouter Burger,18,2001-02-16,25,Niederlande,191.0,links,30.06.2030,Stoke City,4000000.0,Defensives Mittelfeld,20000000.0,2026,tsg-1899-hoffenheim
Cajetan Lenz,32,2006-06-16,20,Deutschland,190.0,,30.06.2031,VfL Bochum,10000000.0,Defensives Mittelfeld,10000000.0,2026,tsg-1899-hoffenheim
Luis Engelns,16,2007-03-11,19,Deutschland,190.0,rechts,,SC Paderborn 07,3000000.0,Defensives Mittelfeld,4000000.0,2026,tsg-1899-hoffenheim
Nathan De Cat,17,2008-07-19,18,Belgien,192.0,rechts,30.06.2031,RSC Anderlecht,18500000.0,Zentrales Mittelfeld,27000000.0,2026,tsg-1899-hoffenheim
Umut Tohumcu,25,2004-08-11,21,Deutschland,175.0,rechts,30.06.2028,TSG 1899 Hoffenheim II,,Zentrales Mittelfeld,3500000.0,2026,tsg-1899-hoffenheim
Dennis Geiger,,1998-06-10,28,Deutschland,173.0,rechts,30.06.2027,TSG 1899 Hoffenheim U19,,Zentrales Mittelfeld,1000000.0,2026,tsg-1899-hoffenheim
Alexander Prass,22,2001-05-26,25,Österreich,180.0,links,30.06.2028,SK Sturm Graz,12000000.0,Linkes Mittelfeld,9000000.0,2026,tsg-1899-hoffenheim
Bambasé Conté,20,2003-07-07,23,Deutschland,182.0,links,,TSG 1899 Hoffenheim II,,Offensives Mittelfeld,4000000.0,2026,tsg-1899-hoffenheim
Deniz Zeitler,38,2006-12-13,19,Deutschland,181.0,beidfüßig,,FC Ingolstadt 04,1000000.0,Linksaußen,4000000.0,2026,tsg-1899-hoffenheim
Patrick Wimmer,8,2001-05-30,25,Österreich,182.0,rechts,30.06.2031,VfL Wolfsburg,10000000.0,Rechtsaußen,12000000.0,2026,tsg-1899-hoffenheim
Adam Daghim,14,2005-09-28,20,Dänemark,189.0,links,,FC Red Bull Salzburg,13000000.0,Rechtsaußen,7500000.0,2026,tsg-1899-hoffenheim
Andrej Kramaric,27,1991-06-19,35,Kroatien,177.0,rechts,30.06.2028,Leicester City,11000000.0,Hängende Spitze,2500000.0,2026,tsg-1899-hoffenheim
Fisnik Asllani,11,2002-08-08,23,Kosovo,191.0,beidfüßig,30.06.2029,TSG 1899 Hoffenheim II,,Mittelstürmer,35000000.0,2026,tsg-1899-hoffenheim
Tim Lemperle,19,2002-02-05,24,Deutschland,187.0,rechts,30.06.2031,1.FC Köln,,Mittelstürmer,17000000.0,2026,tsg-1899-hoffenheim
Adam Hlozek,10,2002-07-25,24,Tschechien,188.0,rechts,30.06.2029,Bayer 04 Leverkusen,18000000.0,Mittelstürmer,10000000.0,2026,tsg-1899-hoffenheim
Alessandro Vogt,24,2005-02-03,21,Schweiz,188.0,rechts,30.06.2031,FC St. Gallen 1879,2700000.0,Mittelstürmer,8000000.0,2026,tsg-1899-hoffenheim
Max Moerstedt,9,2006-01-15,20,Deutschland,194.0,rechts,30.06.2030,TSG 1899 Hoffenheim U19,,Mittelstürmer,7000000.0,2026,tsg-1899-hoffenheim
Noah Atubolu,,2002-05-25,24,Deutschland,190.0,rechts,30.06.2027,SC Freiburg II,,Torwart,25000000.0,2026,sc-freiburg
Mio Backhaus,1,2004-04-16,22,Deutschland,194.0,rechts,,SV Werder Bremen,12000000.0,Torwart,15000000.0,2026,sc-freiburg
Florian Müller,21,1997-11-13,28,Deutschland,190.0,links,,VfB Stuttgart,1500000.0,Torwart,1200000.0,2026,sc-freiburg
Jannik Huth,24,1994-04-15,32,Deutschland,185.0,rechts,,SC Paderborn 07,,Torwart,400000.0,2026,sc-freiburg
Bruno Ogbus,43,2005-12-17,20,Schweiz,188.0,rechts,,SC Freiburg II,,Innenverteidiger,15000000.0,2026,sc-freiburg
Philipp Lienhart,3,1996-07-11,30,Österreich,189.0,rechts,,Real Madrid,2000000.0,Innenverteidiger,10000000.0,2026,sc-freiburg
Max Rosenfelder,37,2003-02-10,23,Deutschland,186.0,rechts,,SC Freiburg II,,Innenverteidiger,6000000.0,2026,sc-freiburg
Matthias Ginter,28,1994-01-19,32,Deutschland,189.0,rechts,30.06.2027,Borussia Mönchengladbach,,Innenverteidiger,5000000.0,2026,sc-freiburg
Anthony Jung,5,1991-11-03,34,Deutschland,186.0,links,30.06.2027,SV Werder Bremen,,Innenverteidiger,600000.0,2026,sc-freiburg
Berkay Yılmaz,27,2005-02-25,21,Türkei,178.0,links,,SC Freiburg II,,Linker Verteidiger,7000000.0,2026,sc-freiburg
Jordy Makengo,33,2001-08-03,25,Frankreich,191.0,links,30.06.2028,SC Freiburg II,,Linker Verteidiger,6000000.0,2026,sc-freiburg
Christian Günter,30,1993-02-28,33,Deutschland,184.0,links,,SC Freiburg U19,,Linker Verteidiger,2000000.0,2026,sc-freiburg
Philipp Treu,29,2000-12-03,25,Deutschland,173.0,rechts,,FC St. Pauli,5500000.0,Rechter Verteidiger,15000000.0,2026,sc-freiburg
Lukas Kübler,17,1992-08-30,33,Deutschland,182.0,rechts,,SV Sandhausen,,Rechter Verteidiger,1500000.0,2026,sc-freiburg
Karl Steinmann,36,2005-12-13,20,Deutschland,186.0,rechts,,SC Freiburg II,,Rechter Verteidiger,150000.0,2026,sc-freiburg
Patrick Osterhage,6,2000-02-01,26,Deutschland,186.0,links,,VfL Bochum,4800000.0,Defensives Mittelfeld,12000000.0,2026,sc-freiburg
Yannik Engelhardt,16,2001-02-07,25,Deutschland,184.0,rechts,,Como 1907,7000000.0,Defensives Mittelfeld,7000000.0,2026,sc-freiburg
Rihito Yamamoto,20,2001-12-12,24,Japan,179.0,links,,VV St. Truiden,7000000.0,Defensives Mittelfeld,7000000.0,2026,sc-freiburg
Maximilian Eggestein,8,1996-12-08,29,Deutschland,181.0,rechts,,SV Werder Bremen,5000000.0,Zentrales Mittelfeld,10000000.0,2026,sc-freiburg
Rouven Tarnutzer,39,2007-07-24,19,Schweiz,184.0,rechts,30.06.2027,SC Freiburg II,,Zentrales Mittelfeld,400000.0,2026,sc-freiburg
Derry Scherhant,7,2002-11-10,23,Deutschland,185.0,rechts,,Hertha BSC,2000000.0,Linksaußen,7500000.0,2026,sc-freiburg
Vincenzo Grifo,32,1993-04-07,33,Italien,180.0,rechts,30.06.2027,TSG 1899 Hoffenheim,7000000.0,Linksaußen,4000000.0,2026,sc-freiburg
Florent Muslija,23,1998-07-06,28,Kosovo,172.0,rechts,30.06.2028,SC Paderborn 07,1000000.0,Linksaußen,1800000.0,2026,sc-freiburg
Niklas Beste,19,1999-01-04,27,Deutschland,175.0,links,30.06.2030,Benfica Lissabon,8000000.0,Rechtsaußen,10000000.0,2026,sc-freiburg
Cyriaque Irié,22,2005-06-20,21,Burkina Faso,185.0,links,,ESTAC Troyes,8500000.0,Rechtsaußen,8000000.0,2026,sc-freiburg
Eren Dinkçi,18,2001-12-13,24,Türkei,188.0,rechts,,SV Werder Bremen,5000000.0,Rechtsaußen,6000000.0,2026,sc-freiburg
Yuito Suzuki,14,2001-10-25,24,Japan,175.0,rechts,,Bröndby IF,10000000.0,Hängende Spitze,24000000.0,2026,sc-freiburg
Igor Matanovic,31,2003-03-31,23,Kroatien,194.0,rechts,,Eintracht Frankfurt,6700000.0,Mittelstürmer,22000000.0,2026,sc-freiburg
Keisuke Goto,42,2005-06-03,21,Japan,191.0,rechts,,RSC Anderlecht,10000000.0,Mittelstürmer,10000000.0,2026,sc-freiburg
Lucas Höler,9,1994-07-10,32,Deutschland,184.0,rechts,,SV Sandhausen,2000000.0,Mittelstürmer,3000000.0,2026,sc-freiburg
Robin Zentner,27,1994-10-28,31,Deutschland,194.0,rechts,30.06.2028,1.FSV Mainz 05 II,,Torwart,2500000.0,2026,1-fsv-mainz-05
Alexander Schwolow,1,1992-06-02,34,Deutschland,190.0,rechts,,Heart of Midlothian FC,,Torwart,450000.0,2026,1-fsv-mainz-05
Maximilian Kinzig,40,2003-12-04,22,Deutschland,190.0,rechts,,1.FSV Mainz 05 II,,Torwart,150000.0,2026,1-fsv-mainz-05
Kacper Potulski,48,2007-10-19,18,Polen,195.0,rechts,30.06.2028,1.FSV Mainz 05 II,,Innenverteidiger,18000000.0,2026,1-fsv-mainz-05
Andreas Hanche-Olsen,25,1997-01-17,29,Norwegen,185.0,rechts,30.06.2028,KAA Gent,2500000.0,Innenverteidiger,3500000.0,2026,1-fsv-mainz-05
Fabio Gruber,3,2002-09-03,23,Peru,188.0,rechts,30.06.2030,1.FC Nürnberg,3500000.0,Innenverteidiger,3000000.0,2026,1-fsv-mainz-05
Dominik Kohr,31,1994-01-31,32,Deutschland,183.0,rechts,30.06.2028,Eintracht Frankfurt,1500000.0,Innenverteidiger,2000000.0,2026,1-fsv-mainz-05
Danny da Costa,21,1993-07-13,33,Deutschland,187.0,rechts,30.06.2027,Eintracht Frankfurt,,Innenverteidiger,1200000.0,2026,1-fsv-mainz-05
Stefan Bell,16,1991-08-24,34,Deutschland,192.0,rechts,30.06.2027,1.FSV Mainz 05 U19,,Innenverteidiger,600000.0,2026,1-fsv-mainz-05
Phillipp Mwene,2,1994-01-29,32,Österreich,170.0,rechts,,PSV Eindhoven,1000000.0,Linker Verteidiger,1500000.0,2026,1-fsv-mainz-05
Anthony Caci,19,1997-07-01,29,Frankreich,184.0,beidfüßig,30.06.2028,RC Straßburg Alsace,,Rechter Verteidiger,7000000.0,2026,1-fsv-mainz-05
Silvan Widmer,30,1993-03-05,33,Schweiz,183.0,rechts,,FC Basel 1893,2500000.0,Rechter Verteidiger,800000.0,2026,1-fsv-mainz-05
Kaishu Sano,6,2000-12-30,25,Japan,176.0,beidfüßig,30.06.2028,Kashima Antlers,2500000.0,Defensives Mittelfeld,50000000.0,2026,1-fsv-mainz-05
Eric Martel,5,2002-04-29,24,Deutschland,188.0,rechts,,1.FC Köln,,Defensives Mittelfeld,8000000.0,2026,1-fsv-mainz-05
Lennard Maloney,15,1999-10-08,26,Vereinigte Staaten,188.0,rechts,30.06.2028,1.FC Heidenheim 1846,500000.0,Defensives Mittelfeld,2500000.0,2026,1-fsv-mainz-05
Sota Kawasaki,24,2001-07-30,25,Japan,172.0,beidfüßig,,Kyoto Sanga,1000000.0,Defensives Mittelfeld,2000000.0,2026,1-fsv-mainz-05
Nadiem Amiri,10,1996-10-27,29,Deutschland,180.0,rechts,30.06.2028,Bayer 04 Leverkusen,1000000.0,Zentrales Mittelfeld,17000000.0,2026,1-fsv-mainz-05
Paul Nebel,8,2002-10-10,23,Deutschland,169.0,beidfüßig,30.06.2027,1.FSV Mainz 05 U19,,Offensives Mittelfeld,18000000.0,2026,1-fsv-mainz-05
Hyun-seok Hong,13,1999-06-16,27,Südkorea,177.0,links,30.06.2028,KAA Gent,4000000.0,Offensives Mittelfeld,2500000.0,2026,1-fsv-mainz-05
Jae-sung Lee,7,1992-08-10,33,Südkorea,180.0,links,,Holstein Kiel,,Offensives Mittelfeld,2000000.0,2026,1-fsv-mainz-05
Marco Richter,22,1997-11-24,28,Deutschland,176.0,rechts,30.06.2027,Hertha BSC,3000000.0,Offensives Mittelfeld,1500000.0,2026,1-fsv-mainz-05
Otto Ruoppi,20,2006-01-31,20,Finnland,180.0,rechts,30.06.2030,Kuopion Palloseura,1300000.0,Offensives Mittelfeld,1000000.0,2026,1-fsv-mainz-05
Sheraldo Becker,23,1995-02-09,31,Suriname,180.0,rechts,,CA Osasuna,500000.0,Linksaußen,1500000.0,2026,1-fsv-mainz-05
Silas,26,1998-10-06,27,DR Kongo,189.0,rechts,,VfB Stuttgart,150000.0,Rechtsaußen,2000000.0,2026,1-fsv-mainz-05
Benedict Hollerbach,17,2001-05-17,25,Deutschland,181.0,beidfüßig,30.06.2029,1.FC Union Berlin,10000000.0,Mittelstürmer,8000000.0,2026,1-fsv-mainz-05
Ransford Königsdörffer,11,2001-09-13,24,Ghana,182.0,rechts,,Hamburger SV,,Mittelstürmer,5000000.0,2026,1-fsv-mainz-05
Phillip Tietz,9,1997-07-09,29,Deutschland,190.0,rechts,30.06.2028,FC Augsburg,4000000.0,Mittelstürmer,4000000.0,2026,1-fsv-mainz-05
William Bøving,14,2003-03-01,23,Dänemark,176.0,beidfüßig,30.06.2029,SK Sturm Graz,3500000.0,Mittelstürmer,3500000.0,2026,1-fsv-mainz-05
Alynho Haidara,39,2008-07-26,18,Elfenbeinküste,190.0,,,FC Mainz 05 de Jacqueville,,Mittelstürmer,,2026,1-fsv-mainz-05
Finn Dahmen,1,1998-03-27,28,Deutschland,186.0,rechts,30.06.2027,1.FSV Mainz 05,,Torwart,12000000.0,2026,fc-augsburg
Nediljko Labrovic,22,1999-10-10,26,Kroatien,196.0,rechts,30.06.2029,HNK Rijeka,2500000.0,Torwart,2000000.0,2026,fc-augsburg
Tom Wisbereit,48,2007-11-17,18,Deutschland,195.0,,30.06.2030,1.FC Union Berlin U19,,Torwart,,2026,fc-augsburg
Chrislain Matsima,5,2002-05-15,24,Frankreich,193.0,rechts,30.06.2030,AS Monaco,5000000.0,Innenverteidiger,22000000.0,2026,fc-augsburg
Noahkai Banks,40,2006-12-01,19,Vereinigte Staaten,193.0,rechts,30.06.2029,FC Augsburg II,,Innenverteidiger,20000000.0,2026,fc-augsburg
Keven Schlotterbeck,31,1997-04-28,29,Deutschland,188.0,links,30.06.2027,SC Freiburg,2500000.0,Innenverteidiger,6000000.0,2026,fc-augsburg
Calvin Brackelmann,2,1999-08-22,26,Deutschland,196.0,links,30.06.2030,SC Paderborn 07,,Innenverteidiger,3000000.0,2026,fc-augsburg
Jeffrey Gouweleeuw,6,1991-07-10,35,Niederlande,188.0,rechts,30.06.2027,AZ Alkmaar,3000000.0,Innenverteidiger,1000000.0,2026,fc-augsburg
Hennes Behrens,16,2005-01-19,21,Deutschland,175.0,rechts,30.06.2031,TSG 1899 Hoffenheim,3500000.0,Linker Verteidiger,5000000.0,2026,fc-augsburg
Dimitrios Giannoulis,13,1995-10-17,30,Griechenland,178.0,links,30.06.2028,Norwich City,,Linker Verteidiger,3000000.0,2026,fc-augsburg
Mads Pedersen,3,1996-09-01,29,Dänemark,178.0,links,30.06.2027,FC Nordsjaelland,800000.0,Linker Verteidiger,800000.0,2026,fc-augsburg
Marius Wolf,27,1995-05-27,31,Deutschland,188.0,rechts,30.06.2027,Borussia Dortmund,,Rechter Verteidiger,2500000.0,2026,fc-augsburg
Kristijan Jakic,17,1997-05-14,29,Kroatien,181.0,rechts,30.06.2028,Eintracht Frankfurt,5000000.0,Defensives Mittelfeld,6000000.0,2026,fc-augsburg
Robin Fellhauer,19,1998-01-21,28,Deutschland,182.0,rechts,30.06.2029,SV 07 Elversberg,700000.0,Defensives Mittelfeld,3500000.0,2026,fc-augsburg
Yannik Keitel,14,2000-02-15,26,Deutschland,186.0,beidfüßig,30.06.2027,VfB Stuttgart,100000.0,Defensives Mittelfeld,2000000.0,2026,fc-augsburg
Tim Breithaupt,18,2002-02-07,24,Deutschland,192.0,rechts,30.06.2028,Karlsruher SC,2500000.0,Defensives Mittelfeld,800000.0,2026,fc-augsburg
Mahmut Kücüksahin,42,2004-04-07,22,Türkei,182.0,rechts,30.06.2027,FC Augsburg II,,Defensives Mittelfeld,150000.0,2026,fc-augsburg
Han-Noah Massengo,4,2001-07-07,25,Frankreich,178.0,rechts,30.06.2030,FC Burnley,3000000.0,Zentrales Mittelfeld,8000000.0,2026,fc-augsburg
Sima Suso,8,2005-05-28,21,Deutschland,190.0,links,30.06.2031,Fortuna Düsseldorf,1600000.0,Zentrales Mittelfeld,2800000.0,2026,fc-augsburg
Alexis Claude-Maurice,20,1998-06-06,28,Frankreich,176.0,rechts,30.06.2027,OGC Nizza,,Offensives Mittelfeld,15000000.0,2026,fc-augsburg
Fabian Rieder,32,2002-02-16,24,Schweiz,181.0,links,30.06.2030,FC Stade Rennes,7000000.0,Offensives Mittelfeld,12000000.0,2026,fc-augsburg
Mert Kömür,36,2005-07-17,21,Deutschland,184.0,beidfüßig,30.06.2029,FC Augsburg U19,,Offensives Mittelfeld,12000000.0,2026,fc-augsburg
Anton Kade,30,2004-01-17,22,Deutschland,185.0,rechts,30.06.2029,FC Basel 1893,2250000.0,Offensives Mittelfeld,10000000.0,2026,fc-augsburg
Nathanaël Mbuku,34,2002-03-16,24,DR Kongo,170.0,links,,Stade Reims,,Linksaußen,2000000.0,2026,fc-augsburg
Yusuf Kabadayi,,2004-02-02,22,Deutschland,186.0,rechts,30.06.2028,FC Bayern München II,900000.0,Linksaußen,1200000.0,2026,fc-augsburg
Faik Sakar,23,2008-01-14,18,Deutschland,178.0,rechts,30.06.2030,RB Leipzig U19,,Linksaußen,200000.0,2026,fc-augsburg
Rodrigo Ribeiro,9,2005-04-28,21,Portugal,186.0,rechts,30.06.2031,Sporting Lissabon B,5000000.0,Mittelstürmer,4000000.0,2026,fc-augsburg
Uchenna Ogundu,39,2006-05-12,20,Nigeria,180.0,rechts,30.06.2031,Alanyaspor,4500000.0,Mittelstürmer,4000000.0,2026,fc-augsburg
Michael Gregoritsch,11,1994-04-18,32,Österreich,193.0,links,30.06.2027,Bröndby IF,700000.0,Mittelstürmer,1500000.0,2026,fc-augsburg
Steve Mounié,15,1994-09-29,31,Benin,189.0,rechts,30.06.2027,Stade Brest 29,,Mittelstürmer,1500000.0,2026,fc-augsburg
Thomas Kastanaras,24,2003-01-09,23,Deutschland,186.0,,30.06.2027,VfB Stuttgart II,,Mittelstürmer,300000.0,2026,fc-augsburg
Karl Hein,1,2002-04-13,24,Estland,193.0,rechts,,FC Arsenal,3000000.0,Torwart,3000000.0,2026,sv-werder-bremen
Alexander Schlager,30,1996-02-01,30,Österreich,185.0,rechts,30.06.2029,FC Red Bull Salzburg,,Torwart,2000000.0,2026,sv-werder-bremen
Markus Kolke,25,1990-08-18,35,Deutschland,187.0,rechts,,FC Hansa Rostock,75000.0,Torwart,300000.0,2026,sv-werder-bremen
Stefan Smarkalev,37,2007-05-14,19,Bulgarien,188.0,rechts,30.06.2027,,,Torwart,150000.0,2026,sv-werder-bremen
Karim Coulibaly,31,2007-05-23,19,Deutschland,191.0,links,30.06.2029,SV Werder Bremen U19,,Innenverteidiger,28000000.0,2026,sv-werder-bremen
Marco Friedl,32,1998-03-16,28,Österreich,187.0,links,30.06.2028,FC Bayern München,3500000.0,Innenverteidiger,10000000.0,2026,sv-werder-bremen
Oskar Wójcik,3,2003-07-21,23,Polen,191.0,rechts,30.06.2031,Cracovia,3000000.0,Innenverteidiger,5000000.0,2026,sv-werder-bremen
Amos Pieper,5,1998-01-17,28,Deutschland,192.0,rechts,,Arminia Bielefeld,,Innenverteidiger,4000000.0,2026,sv-werder-bremen
Niklas Stark,4,1995-04-14,31,Deutschland,190.0,rechts,,Hertha BSC,,Innenverteidiger,2500000.0,2026,sv-werder-bremen
Julián Malatini,22,2001-05-31,25,Argentinien,191.0,rechts,,Defensa y Justicia,2000000.0,Innenverteidiger,2000000.0,2026,sv-werder-bremen
Mick Schmetgens,33,2007-09-09,18,Deutschland,190.0,rechts,30.06.2029,SV Werder Bremen II,,Innenverteidiger,700000.0,2026,sv-werder-bremen
