,unnamed:_0,name,number,dob,age,country,height,foot,contract,signed_from,signing_fee,position,market_value,season,team
21,21,Ismael Saibari,34,2001-01-28,25,Marokko,185.0,rechts,2031-06-30,PSV Eindhoven,50000000.0,Offensives Mittelfeld,55000000.0,2026,fc-bayern-munchen
22,22,Arijon Ibrahimovic,22,2005-12-11,20,Deutschland,178.0,rechts,2028-06-30,FC Bayern München U19,,Offensives Mittelfeld,10000000.0,2026,fc-bayern-munchen
23,23,Luis Díaz,14,1997-01-13,29,Kolumbien,179.0,rechts,2029-06-30,FC Liverpool,70000000.0,Linksaußen,70000000.0,2026,fc-bayern-munchen
24,24,Bryan Zaragoza,,2001-09-09,24,Spanien,164.0,rechts,2029-06-30,FC Granada,13000000.0,Linksaußen,8000000.0,2026,fc-bayern-munchen
25,25,Michael Olise,17,2001-12-12,24,Frankreich,180.0,links,2029-06-30,Crystal Palace,53000000.0,Rechtsaußen,170000000.0,2026,fc-bayern-munchen
26,26,Serge Gnabry,7,1995-07-14,31,Deutschland,176.0,rechts,2028-06-30,SV Werder Bremen,8000000.0,Hängende Spitze,18000000.0,2026,fc-bayern-munchen
27,27,Armindo Sieb,36,2003-02-17,23,Deutschland,175.0,beidfüßig,2027-06-30,SpVgg Greuther Fürth,1500000.0,Hängende Spitze,2500000.0,2026,fc-bayern-munchen
28,28,Harry Kane,9,1993-07-28,33,England,188.0,rechts,2027-06-30,Tottenham Hotspur,95000000.0,Mittelstürmer,60000000.0,2026,fc-bayern-munchen
29,29,Maarten Vandevoordt,26,2002-02-26,24,Belgien,192.0,rechts,2030-06-30,KRC Genk,10000000.0,Torwart,15000000.0,2026,rasenballsport-leipzig
30,30,Ørjan Nyland,1,1990-09-10,35,Norwegen,192.0,rechts,2028-06-30,FC Sevilla,,Torwart,800000.0,2026,rasenballsport-leipzig
31,31,Leopold Zingerle,25,1994-04-10,32,Deutschland,182.0,rechts,2028-06-30,SC Paderborn 07,,Torwart,300000.0,2026,rasenballsport-leipzig
32,32,Castello Lukeba,23,2002-12-17,23,Frankreich,184.0,links,2029-06-30,Olympique Lyon,30000000.0,Innenverteidiger,50000000.0,2026,rasenballsport-leipzig
33,33,Maxime Estève,3,2002-05-26,24,Frankreich,193.0,links,2031-06-30,FC Burnley,25000000.0,Innenverteidiger,28000000.0,2026,rasenballsport-leipzig
34,34,El Chadaille Bitshiabu,5,2005-05-16,21,Frankreich,196.0,links,2029-06-30,Paris Saint-Germain,15000000.0,Innenverteidiger,18000000.0,2026,rasenballsport-leipzig
35,35,Abdoul Koné,2,2005-04-22,21,Frankreich,192.0,rechts,2031-06-30,Stade Reims,17000000.0,Innenverteidiger,15000000.0,2026,rasenballsport-leipzig
36,36,Willi Orbán,4,1992-11-03,33,Ungarn,186.0,rechts,2027-06-30,1.FC Kaiserslautern,2000000.0,Innenverteidiger,5000000.0,2026,rasenballsport-leipzig
37,37,Lukas Klostermann,16,1996-06-03,30,Deutschland,189.0,rechts,2028-06-30,VfL Bochum,1000000.0,Innenverteidiger,3500000.0,2026,rasenballsport-leipzig
38,38,David Raum,22,1998-04-22,28,Deutschland,181.0,links,2027-06-30,TSG 1899 Hoffenheim,26000000.0,Linker Verteidiger,25000000.0,2026,rasenballsport-leipzig
39,39,Max Finkgräfe,35,2004-03-27,22,Deutschland,183.0,links,2030-06-30,1.FC Köln,4000000.0,Linker Verteidiger,5000000.0,2026,rasenballsport-leipzig
40,40,Lutsharel Geertruida,,2000-07-18,26,Niederlande,184.0,rechts,2029-06-30,Feyenoord Rotterdam,20000000.0,Rechter Verteidiger,20000000.0,2026,rasenballsport-leipzig
41,41,Ridle Baku,17,1998-04-08,28,Deutschland,176.0,rechts,2027-06-30,VfL Wolfsburg,4500000.0,Rechter Verteidiger,12000000.0,2026,rasenballsport-leipzig
42,42,Benjamin Henrichs,39,1997-02-23,29,Deutschland,185.0,rechts,2028-06-30,AS Monaco,15000000.0,Rechter Verteidiger,7000000.0,2026,rasenballsport-leipzig
43,43,Nicolas Seiwald,13,2001-05-04,25,Österreich,179.0,rechts,2028-06-30,FC Red Bull Salzburg,20000000.0,Defensives Mittelfeld,25000000.0,2026,rasenballsport-leipzig
44,44,Arthur Vermeeren,48,2005-02-07,21,Belgien,180.0,rechts,2029-06-30,Atlético Madrid,20000000.0,Defensives Mittelfeld,20000000.0,2026,rasenballsport-leipzig
45,45,Benno Kaltefleiter,37,2008-02-14,18,Deutschland,189.0,rechts,2029-06-30,RB Leipzig U19,,Defensives Mittelfeld,,2026,rasenballsport-leipzig
46,46,Assan Ouédraogo,8,2006-05-09,20,Deutschland,191.0,rechts,2029-06-30,FC Schalke 04,10000000.0,Zentrales Mittelfeld,28000000.0,2026,rasenballsport-leipzig
47,47,Rocco Reitz,20,2002-05-29,24,Deutschland,176.0,rechts,2031-06-30,Borussia Mönchengladbach,20000000.0,Zentrales Mittelfeld,20000000.0,2026,rasenballsport-leipzig
48,48,Ezechiel Banzuzi,6,2005-02-16,21,Niederlande,191.0,rechts,2030-06-30,Oud-Heverlee Leuven,16000000.0,Zentrales Mittelfeld,16000000.0,2026,rasenballsport-leipzig
49,49,Joyeux Masanka Bungi,,2007-01-24,19,Belgien,186.0,links,2027-06-30,RB Leipzig U19,,Linkes Mittelfeld,400000.0,2026,rasenballsport-leipzig
50,50,Christoph Baumgartner,14,1999-08-01,27,Österreich,180.0,rechts,2028-06-30,TSG 1899 Hoffenheim,25500000.0,Offensives Mittelfeld,40000000.0,2026,rasenballsport-leipzig
51,51,Brajan Gruda,10,2004-05-31,22,Deutschland,178.0,links,2027-06-30,Brighton & Hove Albion,1000000.0,Offensives Mittelfeld,28000000.0,2026,rasenballsport-leipzig
52,52,Eljif Elmas,19,1999-09-24,26,Nordmazedonien,184.0,rechts,2028-06-30,SSC Neapel,24000000.0,Offensives Mittelfeld,13000000.0,2026,rasenballsport-leipzig
53,53,Andrija Maksimovic,33,2007-06-05,19,Serbien,182.0,links,2030-06-30,Roter Stern Belgrad,14100000.0,Offensives Mittelfeld,9000000.0,2026,rasenballsport-leipzig
54,54,Viggo Gebel,47,2007-11-22,18,Deutschland,175.0,rechts,2028-06-30,RB Leipzig U19,,Offensives Mittelfeld,350000.0,2026,rasenballsport-leipzig
55,55,Antonio Nusa,7,2005-04-17,21,Norwegen,183.0,rechts,2029-06-30,Club Brügge,21000000.0,Linksaußen,32000000.0,2026,rasenballsport-leipzig
56,56,Suleman Sani,18,2006-09-01,19,Nigeria,175.0,rechts,2031-06-30,AS Trencin,5000000.0,Linksaußen,5000000.0,2026,rasenballsport-leipzig
57,57,Tidiam Gomis,27,2006-08-08,19,Frankreich,183.0,rechts,2029-06-30,SM Caen,1000000.0,Linksaußen,5000000.0,2026,rasenballsport-leipzig
58,58,Ayodele Thomas,21,2007-07-23,19,Niederlande,177.0,rechts,2031-06-30,PSV Eindhoven II,400000.0,Linksaußen,1000000.0,2026,rasenballsport-leipzig
59,59,Yan Diomande,49,2006-11-14,19,Elfenbeinküste,180.0,rechts,2030-06-30,CD Leganés,20000000.0,Rechtsaußen,90000000.0,2026,rasenballsport-leipzig
60,60,Johan Bakayoko,11,2003-04-20,23,Belgien,179.0,links,2030-06-30,PSV Eindhoven,18000000.0,Rechtsaußen,20000000.0,2026,rasenballsport-leipzig
61,61,Rômulo,40,2002-02-08,24,Brasilien,193.0,rechts,2030-06-30,Göztepe,20500000.0,Mittelstürmer,30000000.0,2026,rasenballsport-leipzig
62,62,Conrad Harder,9,2005-04-07,21,Dänemark,185.0,links,2030-06-30,Sporting Lissabon,24000000.0,Mittelstürmer,17000000.0,2026,rasenballsport-leipzig
63,63,Robert Ramsak,,2006-10-28,19,Deutschland,185.0,rechts,2027-06-30,RB Leipzig U19,,Mittelstürmer,250000.0,2026,rasenballsport-leipzig
64,64,Gregor Kobel,1,1997-12-06,28,Schweiz,196.0,rechts,2028-06-30,VfB Stuttgart,15000000.0,Torwart,40000000.0,2026,borussia-dortmund
65,65,Diant Ramaj,32,2001-09-19,24,Deutschland,189.0,rechts,2029-06-30,Ajax Amsterdam,5000000.0,Torwart,7000000.0,2026,borussia-dortmund
66,66,Alexander Meyer,33,1991-04-13,35,Deutschland,195.0,rechts,2027-06-30,SSV Jahn Regensburg,,Torwart,500000.0,2026,borussia-dortmund
67,67,Patrick Drewes,30,1993-02-04,33,Deutschland,194.0,rechts,2027-06-30,VfL Bochum,200000.0,Torwart,300000.0,2026,borussia-dortmund
68,68,Silas Ostrzinski,31,2003-11-19,22,Deutschland,198.0,rechts,2027-06-30,Borussia Dortmund II,,Torwart,200000.0,2026,borussia-dortmund
69,69,Nico Schlotterbeck,4,1999-12-01,26,Deutschland,191.0,links,2031-06-30,SC Freiburg,20000000.0,Innenverteidiger,55000000.0,2026,borussia-dortmund
70,70,Joane Gadou,22,2007-01-17,19,Frankreich,195.0,rechts,2031-06-30,FC Red Bull Salzburg,19500000.0,Innenverteidiger,20000000.0,2026,borussia-dortmund
71,71,Waldemar Anton,3,1996-07-20,30,Deutschland,189.0,rechts,2028-06-30,VfB Stuttgart,22500000.0,Innenverteidiger,18000000.0,2026,borussia-dortmund
72,72,Luca Reggiani,49,2008-01-09,18,Italien,194.0,rechts,,Borussia Dortmund U19,,Innenverteidiger,10000000.0,2026,borussia-dortmund
73,73,Ramy Bensebaini,5,1995-04-16,31,Algerien,187.0,links,2027-06-30,Borussia Mönchengladbach,,Innenverteidiger,7000000.0,2026,borussia-dortmund
74,74,Emre Can,23,1994-01-12,32,Deutschland,186.0,rechts,2027-06-30,Juventus Turin,25000000.0,Innenverteidiger,3000000.0,2026,borussia-dortmund
75,75,Filippo Mane,39,2005-03-08,21,Italien,188.0,rechts,2028-06-30,Borussia Dortmund II,,Innenverteidiger,2500000.0,2026,borussia-dortmund
76,76,Daniel Svensson,24,2002-02-12,24,Schweden,183.0,links,2029-06-30,FC Nordsjaelland,6500000.0,Linker Verteidiger,22000000.0,2026,borussia-dortmund
77,77,Almugera Kabar,42,2006-06-06,20,Deutschland,186.0,links,2028-06-30,Borussia Dortmund U19,,Linker Verteidiger,3000000.0,2026,borussia-dortmund
78,78,Julian Ryerson,26,1997-11-17,28,Norwegen,183.0,rechts,2028-06-30,1.FC Union Berlin,5000000.0,Rechter Verteidiger,25000000.0,2026,borussia-dortmund
79,79,Yan Couto,2,2002-06-03,24,Brasilien,168.0,rechts,2030-06-30,Manchester City,20000000.0,Rechter Verteidiger,17000000.0,2026,borussia-dortmund
80,80,Mussa Kaba,48,2008-11-17,17,Deutschland,196.0,rechts,2031-06-30,Borussia Dortmund II,,Defensives Mittelfeld,200000.0,2026,borussia-dortmund
81,81,Felix Nmecha,8,2000-10-10,25,Deutschland,190.0,rechts,2030-06-30,VfL Wolfsburg,30000000.0,Zentrales Mittelfeld,55000000.0,2026,borussia-dortmund
82,82,Jobe Bellingham,7,2005-09-23,20,England,191.0,rechts,2030-06-30,AFC Sunderland,30500000.0,Zentrales Mittelfeld,40000000.0,2026,borussia-dortmund
83,83,Carney Chukwuemeka,17,2003-10-20,22,Österreich,187.0,rechts,2030-06-30,FC Chelsea,20000000.0,Zentrales Mittelfeld,20000000.0,2026,borussia-dortmund
84,84,Marcel Sabitzer,20,1994-03-17,32,Österreich,178.0,rechts,2027-06-30,FC Bayern München,19000000.0,Zentrales Mittelfeld,6000000.0,2026,borussia-dortmund
85,85,Konstantinos Karetsas,19,2007-11-19,18,Griechenland,173.0,links,2031-06-30,KRC Genk,30000000.0,Offensives Mittelfeld,35000000.0,2026,borussia-dortmund
86,86,Justin Lerma,28,2008-05-05,18,Ecuador,176.0,rechts,2031-06-30,Independiente del Valle,4000000.0,Offensives Mittelfeld,3200000.0,2026,borussia-dortmund
87,87,Mathis Albert,41,2009-05-21,17,Vereinigte Staaten,179.0,rechts,2027-06-30,Borussia Dortmund II,,Linksaußen,300000.0,2026,borussia-dortmund
88,88,Samuele Inácio,40,2008-04-02,18,Italien,176.0,rechts,2029-06-30,Borussia Dortmund II,,Hängende Spitze,15000000.0,2026,borussia-dortmund
89,89,Maximilian Beier,14,2002-10-17,23,Deutschland,185.0,rechts,2029-06-30,TSG 1899 Hoffenheim,28500000.0,Mittelstürmer,40000000.0,2026,borussia-dortmund
90,90,Serhou Guirassy,9,1996-03-12,30,Guinea,187.0,rechts,2028-06-30,VfB Stuttgart,18000000.0,Mittelstürmer,32000000.0,2026,borussia-dortmund
91,91,Fábio Silva,21,2002-07-19,24,Portugal,185.0,rechts,2030-06-30,Wolverhampton Wanderers,22500000.0,Mittelstürmer,22000000.0,2026,borussia-dortmund
92,92,Mark Flekken,1,1993-06-13,33,Niederlande,195.0,beidfüßig,2028-06-30,FC Brentford,11000000.0,Torwart,6000000.0,2026,bayer-04-leverkusen
93,93,Janis Blaswich,28,1991-05-02,35,Deutschland,193.0,rechts,2027-06-30,RB Leipzig,2000000.0,Torwart,700000.0,2026,bayer-04-leverkusen
94,94,Niklas Lomb,36,1993-07-28,33,Deutschland,186.0,rechts,2027-06-30,Bayer 04 Leverkusen U19,,Torwart,250000.0,2026,bayer-04-leverkusen
95,95,Jarell Quansah,4,2003-01-29,23,England,190.0,rechts,2030-06-30,FC Liverpool,35000000.0,Innenverteidiger,45000000.0,2026,bayer-04-leverkusen
96,96,Edmond Tapsoba,12,1999-02-02,27,Burkina Faso,194.0,rechts,2031-06-30,Vitória Guimarães SC,20200000.0,Innenverteidiger,35000000.0,2026,bayer-04-leverkusen
97,97,Loïc Badé,5,2000-04-11,26,Frankreich,191.0,rechts,2030-06-30,FC Sevilla,25000000.0,Innenverteidiger,20000000.0,2026,bayer-04-leverkusen
98,98,Jeanuël Belocian,44,2005-02-17,21,Frankreich,186.0,links,2029-06-30,FC Stade Rennes,15000000.0,Innenverteidiger,12000000.0,2026,bayer-04-leverkusen
99,99,Axel Tape,16,2007-08-10,18,Frankreich,180.0,rechts,2030-06-30,Paris Saint-Germain Espoirs,,Innenverteidiger,8000000.0,2026,bayer-04-leverkusen
100,100,Tim Oermann,15,2003-10-06,22,Deutschland,189.0,rechts,2029-06-30,VfL Bochum,1900000.0,Innenverteidiger,4000000.0,2026,bayer-04-leverkusen
101,101,Arthur,13,2003-03-17,23,Brasilien,174.0,rechts,2031-06-30,América FC (MG),7000000.0,Rechter Verteidiger,8000000.0,2026,bayer-04-leverkusen
102,102,Lucas Vázquez,21,1991-07-01,35,Spanien,173.0,rechts,2027-06-30,Real Madrid,,Rechter Verteidiger,1500000.0,2026,bayer-04-leverkusen
103,103,Equi Fernández,6,2002-07-25,24,Argentinien,178.0,links,2030-06-30,Al-Qadsiah FC,25000000.0,Defensives Mittelfeld,20000000.0,2026,bayer-04-leverkusen
104,104,Kennet Eichhorn,18,2009-07-27,17,Deutschland,186.0,rechts,2031-06-30,Hertha BSC,9000000.0,Defensives Mittelfeld,20000000.0,2026,bayer-04-leverkusen
105,105,Robert Andrich,8,1994-09-22,31,Deutschland,187.0,rechts,2028-06-30,1.FC Union Berlin,6500000.0,Defensives Mittelfeld,6000000.0,2026,bayer-04-leverkusen
106,106,Exequiel Palacios,25,1998-10-05,27,Argentinien,177.0,rechts,2030-06-30,CA River Plate,17000000.0,Zentrales Mittelfeld,25000000.0,2026,bayer-04-leverkusen
107,107,Aleix García,24,1997-06-28,29,Spanien,173.0,rechts,2029-06-30,FC Girona,18000000.0,Zentrales Mittelfeld,20000000.0,2026,bayer-04-leverkusen
108,108,Noah Mbamba,31,2005-01-05,21,Belgien,196.0,rechts,2028-06-30,Club Brügge,100000.0,Zentrales Mittelfeld,2000000.0,2026,bayer-04-leverkusen
109,109,Naba Mensah,,2007-05-08,19,Deutschland,,beidfüßig,2027-06-30,Bayer 04 Leverkusen U19,,Zentrales Mittelfeld,,2026,bayer-04-leverkusen
110,110,Ibrahim Maza,30,2005-11-24,20,Algerien,180.0,rechts,2030-06-30,Hertha BSC,12000000.0,Offensives Mittelfeld,45000000.0,2026,bayer-04-leverkusen
111,111,Malik Tillman,10,2002-05-28,24,Vereinigte Staaten,187.0,rechts,2030-06-30,PSV Eindhoven,35000000.0,Offensives Mittelfeld,30000000.0,2026,bayer-04-leverkusen
112,112,Jonas Hofmann,7,1992-07-14,34,Deutschland,176.0,rechts,2027-06-30,Borussia Mönchengladbach,10000000.0,Offensives Mittelfeld,1500000.0,2026,bayer-04-leverkusen
113,113,Afonso Moreira,9,2005-03-19,21,Portugal,176.0,rechts,2031-06-30,Olympique Lyon,29500000.0,Linksaußen,20000000.0,2026,bayer-04-leverkusen
114,114,Eliesse Ben Seghir,17,2005-02-16,21,Marokko,178.0,rechts,2030-06-30,AS Monaco,32000000.0,Linksaußen,20000000.0,2026,bayer-04-leverkusen
115,115,Martin Terrier,11,1997-03-04,29,Frankreich,184.0,rechts,2029-06-30,FC Stade Rennes,20000000.0,Linksaußen,8000000.0,2026,bayer-04-leverkusen
116,116,Ernest Poku,19,2004-01-28,22,Niederlande,176.0,rechts,2030-06-30,AZ Alkmaar,10000000.0,Rechtsaußen,25000000.0,2026,bayer-04-leverkusen
117,117,Nathan Tella,23,1999-07-05,27,Nigeria,173.0,rechts,2031-06-30,FC Southampton,23300000.0,Rechtsaußen,15000000.0,2026,bayer-04-leverkusen
118,118,Montrell Culbreath,42,2007-08-29,18,Deutschland,172.0,rechts,2031-06-30,Bayer 04 Leverkusen U19,,Rechtsaußen,15000000.0,2026,bayer-04-leverkusen
119,119,Farid Alfa-Ruprecht,29,2006-03-28,20,Deutschland,181.0,rechts,2030-06-30,Manchester City U21,1300000.0,Rechtsaußen,3000000.0,2026,bayer-04-leverkusen
120,120,Christian Kofane,35,2006-07-26,20,Kamerun,189.0,rechts,2029-06-30,Albacete Balompié,5250000.0,Mittelstürmer,40000000.0,2026,bayer-04-leverkusen
121,121,Patrik Schick,14,1996-01-24,30,Tschechien,191.0,links,2030-06-30,AS Rom,26500000.0,Mittelstürmer,18000000.0,2026,bayer-04-leverkusen
122,122,Victor Boniface,22,2000-12-23,25,Nigeria,190.0,rechts,2028-06-30,Union Saint-Gilloise,22600000.0,Mittelstürmer,5000000.0,2026,bayer-04-leverkusen
123,123,Ndjicoura Bomba,,2008-03-12,18,Mali,187.0,,2030-06-30,Club Sportif de Bamako,1500000.0,Mittelstürmer,,2026,bayer-04-leverkusen
124,124,Dennis Seimen,41,2005-12-01,20,Deutschland,192.0,links,2029-06-30,VfB Stuttgart U19,,Torwart,10000000.0,2026,vfb-stuttgart
125,125,Fabian Bredlow,1,1995-03-02,31,Deutschland,190.0,beidfüßig,2027-06-30,1.FC Nürnberg,300000.0,Torwart,700000.0,2026,vfb-stuttgart
126,126,Marius Funk,33,1996-01-01,30,Deutschland,187.0,rechts,2028-06-30,FC Energie Cottbus,,Torwart,300000.0,2026,vfb-stuttgart
127,127,Stefan Drljaca,46,1999-04-20,27,Deutschland,192.0,rechts,2027-06-30,SG Dynamo Dresden,,Torwart,300000.0,2026,vfb-stuttgart
128,128,Finn Jeltsch,29,2006-07-17,20,Deutschland,188.0,rechts,2030-06-30,1.FC Nürnberg,9500000.0,Innenverteidiger,35000000.0,2026,vfb-stuttgart
129,129,Ramon Hendriks,3,2001-07-18,25,Niederlande,189.0,links,2028-06-30,Feyenoord Rotterdam,1000000.0,Innenverteidiger,25000000.0,2026,vfb-stuttgart
130,130,Jeff Chabot,24,1998-02-12,28,Deutschland,195.0,links,2028-06-30,1.FC Köln,4000000.0,Innenverteidiger,15000000.0,2026,vfb-stuttgart
131,131,Luca Jaquez,14,2003-06-02,23,Schweiz,187.0,rechts,2029-06-30,FC Luzern,6500000.0,Innenverteidiger,10000000.0,2026,vfb-stuttgart
132,132,Ameen Al-Dakhil,2,2002-03-06,24,Belgien,187.0,rechts,2028-06-30,FC Burnley,9000000.0,Innenverteidiger,3000000.0,2026,vfb-stuttgart
133,133,Dan-Axel Zagadou,23,1999-06-03,27,Frankreich,196.0,links,2027-06-30,Vereinslos,,Innenverteidiger,2000000.0,2026,vfb-stuttgart
134,134,Maximilian Mittelstädt,7,1997-03-18,29,Deutschland,180.0,links,2028-06-30,Hertha BSC,500000.0,Linker Verteidiger,18000000.0,2026,vfb-stuttgart
135,135,Josha Vagnoman,4,2000-12-11,25,Deutschland,190.0,rechts,2028-06-30,Hamburger SV,4500000.0,Rechter Verteidiger,10000000.0,2026,vfb-stuttgart
136,136,Lorenz Assignon,22,2000-06-22,26,Frankreich,181.0,rechts,2029-06-30,FC Stade Rennes,12000000.0,Rechter Verteidiger,9000000.0,2026,vfb-stuttgart
137,137,Leonidas Stergiou,20,2002-03-03,24,Schweiz,181.0,rechts,2028-06-30,FC St. Gallen 1879,2000000.0,Rechter Verteidiger,2500000.0,2026,vfb-stuttgart
138,138,Christopher Olivier,31,2006-01-31,20,Österreich,187.0,rechts,2028-06-30,,,Rechter Verteidiger,1200000.0,2026,vfb-stuttgart
139,139,Angelo Stiller,6,2001-04-04,25,Deutschland,183.0,links,2028-06-30,TSG 1899 Hoffenheim,5500000.0,Defensives Mittelfeld,45000000.0,2026,vfb-stuttgart
140,140,Chema Andrés,30,2005-04-25,21,Spanien,190.0,rechts,2030-06-30,Real Madrid Castilla,3000000.0,Defensives Mittelfeld,20000000.0,2026,vfb-stuttgart
141,141,Atakan Karazor,16,1996-10-13,29,Türkei,191.0,rechts,2028-06-30,Holstein Kiel,800000.0,Defensives Mittelfeld,8000000.0,2026,vfb-stuttgart
142,142,Mirza Catovic,35,2007-05-01,19,Deutschland,190.0,links,2028-06-30,VfB Stuttgart II,,Defensives Mittelfeld,4000000.0,2026,vfb-stuttgart
143,143,Nikolas Nartey,28,2000-02-22,26,Dänemark,186.0,links,2028-06-30,1.FC Köln,,Zentrales Mittelfeld,10000000.0,2026,vfb-stuttgart
144,144,Grischa Prömel,21,1995-01-09,31,Deutschland,184.0,rechts,2029-06-30,TSG 1899 Hoffenheim,,Zentrales Mittelfeld,3500000.0,2026,vfb-stuttgart
145,145,Yanik Spalt,47,2007-09-03,18,Österreich,184.0,links,2028-06-30,,,Zentrales Mittelfeld,750000.0,2026,vfb-stuttgart
146,146,Ertugrul Yigit,39,2009-01-08,17,Deutschland,,rechts,2029-06-30,VfB Stuttgart U19,,Zentrales Mittelfeld,,2026,vfb-stuttgart
147,147,Bilal El Khannouss,11,2004-05-10,22,Marokko,180.0,rechts,2030-06-30,Leicester City,15000000.0,Offensives Mittelfeld,35000000.0,2026,vfb-stuttgart
148,148,Laurin Ulrich,38,2005-01-31,21,Deutschland,180.0,rechts,2027-06-30,VfB Stuttgart II,,Offensives Mittelfeld,3500000.0,2026,vfb-stuttgart
149,149,Chris Führich,10,1998-01-09,28,Deutschland,181.0,rechts,2028-06-30,SC Paderborn 07,2500000.0,Linksaußen,12000000.0,2026,vfb-stuttgart
150,150,Leo Sauer,44,2005-12-16,20,Slowakei,184.0,rechts,2031-06-30,Feyenoord Rotterdam,15000000.0,Linksaußen,7000000.0,2026,vfb-stuttgart
151,151,Jarzinho Malanga,43,2006-07-10,20,Deutschland,179.0,rechts,2028-06-30,VfB Stuttgart II,,Linksaußen,1700000.0,2026,vfb-stuttgart
152,152,Justin Diehl,17,2004-11-27,21,Deutschland,174.0,rechts,2029-06-30,1.FC Köln,,Linksaußen,1200000.0,2026,vfb-stuttgart
153,153,Jamie Leweling,18,2001-02-26,25,Deutschland,185.0,beidfüßig,2029-06-30,1.FC Union Berlin,6000000.0,Rechtsaußen,40000000.0,2026,vfb-stuttgart
154,154,Tiago Tomás,8,2002-06-16,24,Portugal,180.0,rechts,2029-06-30,VfL Wolfsburg,13000000.0,Rechtsaußen,15000000.0,2026,vfb-stuttgart
155,155,Badredine Bouanani,27,2004-12-08,21,Algerien,177.0,links,2030-06-30,OGC Nizza,15000000.0,Rechtsaußen,10000000.0,2026,vfb-stuttgart
156,156,Lazar Jovanovic,45,2006-11-30,19,Serbien,184.0,links,2029-06-30,Roter Stern Belgrad,5000000.0,Rechtsaußen,3500000.0,2026,vfb-stuttgart
